Rank,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
177,Matt Wallner,MIN,118,418,481,91,48,20,1,22,61,63,49,1,152,11,3,0,4,1,.219
178,Andrew Vaughn,MIL,129,489,537,125,79,25,0,22,59,79,36,0,105,7,5,1,1,0,.256
179,Chase Meidroth,CHW,124,470,531,118,92,19,2,5,56,39,49,0,79,7,3,2,10,4,.250
180,Jung Hoo Lee,SFG,137,516,569,139,95,33,4,8,67,56,42,1,64,5,5,1,8,2,.269
181,Nick Gonzales,PIT,95,362,395,95,65,20,2,7,43,42,23,1,80,5,3,1,3,1,.262
182,Jesús Sánchez,TOR,104,375,416,92,58,18,1,16,53,50,35,1,100,3,2,1,8,2,.246
183,Hunter Feduccia,TBR,74,229,256,48,33,10,1,4,23,24,24,0,66,1,2,0,0,0,.211
184,Josh Smith,TEX,123,440,503,103,72,20,2,9,56,43,46,1,94,10,3,3,9,3,.234
185,Ryan O'Hearn,PIT,125,453,511,119,81,23,2,13,59,58,48,3,97,5,4,1,4,1,.262
186,Caleb Durbin,BOS,132,473,526,118,86,21,3,9,61,48,32,1,57,13,4,3,19,5,.250
187,Justin Crawford,PHI,107,395,429,105,79,19,2,5,52,36,27,1,89,2,2,4,23,3,.266
188,JJ Wetherholt,STL,120,448,500,107,75,22,2,9,52,46,41,1,93,6,3,1,8,2,.239
189,Dylan Beavers,BAL,100,354,401,85,54,18,2,11,49,41,40,1,95,2,3,1,11,2,.239
190,Luis García Jr.,WSN,123,466,501,123,84,24,1,14,56,61,28,2,81,2,5,1,13,5,.264
191,Denzel Clarke,ATH,98,346,379,77,51,17,2,8,44,32,25,0,129,5,2,1,11,3,.222
192,Ramón Laureano,SDP,127,467,519,114,70,21,3,20,67,63,37,1,137,10,4,1,9,3,.244
193,Jordan Lawlar,ARI,91,309,340,74,49,15,2,7,41,33,25,1,94,4,2,1,13,3,.240
194,Luis Arraez,SFG,139,561,608,165,137,25,3,0,65,52,33,3,21,4,5,5,8,3,.295
195,Christian Walker,HOU,135,509,568,117,68,22,0,27,68,77,47,1,145,7,5,1,4,1,.229
196,Pedro Pagés,STL,90,305,332,66,46,12,0,8,29,34,20,1,88,3,2,1,1,0,.217
197,Jose Trevino,CIN,70,234,253,54,39,9,0,6,23,27,14,0,40,2,2,1,0,0,.232
198,Sal Frelick,MIL,132,494,549,124,92,21,5,6,60,47,43,1,75,5,3,2,17,4,.250
199,Cam Smith,HOU,116,412,459,100,68,20,1,10,52,45,39,1,121,6,3,1,7,2,.242
200,Carter Jensen,KCR,102,342,383,81,50,17,3,11,45,44,36,1,101,2,3,1,5,1,.238
201,Josh Bell,MIN,131,480,544,119,77,21,0,21,64,68,54,1,104,4,4,1,2,1,.247
202,Kyle Manzardo,CLE,126,459,519,107,61,22,1,23,59,72,49,2,122,6,5,0,1,1,.233
203,Brandon Marsh,PHI,121,419,473,104,70,20,3,11,57,47,46,1,132,3,3,2,10,3,.247
204,Jake Burger,TEX,130,491,532,118,68,23,1,26,63,76,29,1,134,7,3,1,2,1,.241
205,Freddy Fermin,SDP,118,399,435,91,67,13,2,9,43,39,26,1,89,3,3,4,3,1,.229
206,Addison Barger,TOR,115,427,470,101,60,23,1,17,56,58,36,2,116,4,3,0,4,1,.237
207,Jorge Polanco,NYM,123,451,507,109,67,22,1,20,61,63,46,1,105,4,4,1,6,2,.242
208,Marcelo Mayer,BOS,108,384,420,94,61,22,1,10,45,47,31,2,100,2,3,1,7,2,.245
209,Parker Meadows,DET,99,356,397,78,50,13,5,9,48,35,35,1,102,3,3,1,11,3,.220
210,José Caballero,NYY,95,318,360,69,47,13,1,8,49,25,31,0,94,7,2,2,33,8,.216
211,Henry Davis,PIT,76,252,282,55,35,11,1,8,31,30,21,1,74,6,2,1,4,1,.218
212,Davis Schneider,TOR,86,284,327,60,34,13,1,13,40,40,37,0,95,4,2,0,3,1,.212
213,Harry Ford,WSN,98,255,288,58,39,12,1,6,30,29,27,0,67,4,2,1,6,1,.229
214,Yoán Moncada,LAA,93,330,373,77,48,16,1,12,40,42,35,1,98,4,3,0,1,0,.234
215,Jordan Walker,STL,125,459,503,109,67,23,1,18,58,60,35,1,139,5,3,0,8,2,.237
216,Connor Norby,MIA,116,412,450,100,65,21,3,12,50,50,30,1,124,4,3,0,8,2,.244
217,Colt Emerson,SEA,72,260,289,62,43,13,1,5,30,29,22,1,60,4,2,0,5,1,.240
218,Cole Young,SEA,96,329,369,78,53,16,1,8,40,36,32,1,63,4,3,1,6,2,.236
219,Mike Yastrzemski,ATL,115,402,462,92,54,20,1,16,55,54,50,2,106,4,3,2,4,1,.228
220,Garrett Mitchell,MIL,94,322,361,71,48,13,2,8,41,32,33,1,113,3,2,2,13,3,.220
221,Jorge Soler,LAA,116,415,475,94,52,19,0,22,55,63,50,0,128,5,3,0,1,0,.226
222,Isaac Collins,KCR,108,358,411,86,58,17,3,8,51,38,43,1,83,5,3,2,13,4,.241
223,Carson Williams,TBR,96,341,375,74,46,15,2,12,42,41,27,1,130,4,2,1,9,3,.217
224,Casey Schmitt,SFG,72,256,281,61,39,12,1,10,32,33,19,1,66,3,2,1,2,1,.240
225,Gabriel Arias,CLE,114,415,451,93,63,18,1,12,48,45,27,1,139,5,2,1,9,3,.225
226,Andrew Benintendi,CHW,120,443,495,109,71,20,2,18,55,59,43,2,84,3,5,1,3,1,.247
227,Jordan Beck,COL,131,493,542,125,79,26,3,17,69,64,41,0,153,4,4,0,16,5,.254
228,Miguel Amaya,CHC,79,263,293,59,40,11,0,7,28,30,20,1,65,5,2,3,1,0,.223
229,Romy Gonzalez,BOS,61,219,237,58,39,11,1,8,30,29,14,0,59,2,2,1,7,2,.266
230,Brooks Lee,MIN,135,502,545,119,83,23,1,12,54,55,34,1,97,3,5,1,4,1,.237
231,Daylen Lile,WSN,132,501,546,133,90,30,5,8,61,55,34,1,98,6,4,1,15,3,.265
232,Austin Martin,MIN,85,290,331,75,55,15,1,4,40,26,32,0,56,6,2,2,12,4,.259
233,Nolan Schanuel,LAA,141,516,599,131,98,22,2,8,65,51,66,3,81,9,5,3,6,2,.254
234,Zach McKinstry,DET,103,357,398,83,55,16,4,8,48,34,33,1,88,4,3,1,14,4,.233
235,Tyler Freeman,COL,78,280,316,81,58,15,2,6,43,32,23,0,41,9,2,2,13,4,.289
236,Wenceel Pérez,DET,115,423,469,98,63,19,4,12,56,46,37,1,99,3,4,1,12,3,.233
237,Travis d'Arnaud,LAA,60,199,221,44,28,9,0,8,22,26,14,0,63,3,1,0,1,0,.224
238,Luis Torrens,NYM,62,205,224,49,34,8,1,5,23,23,14,0,51,2,2,1,1,0,.237
239,Luisangel Acuña,CHW,96,319,343,79,59,14,2,4,38,25,18,0,65,2,2,2,16,4,.246
240,Austin Hedges,CLE,42,124,142,23,16,4,0,4,12,11,10,0,38,2,1,3,2,1,.187
241,Brayan Rocchio,CLE,121,424,468,98,69,20,2,7,49,40,33,1,90,6,4,2,12,4,.230
242,Marcell Ozuna,PIT,123,449,517,108,68,20,0,19,60,67,61,1,126,3,4,1,0,0,.239
243,Joc Pederson,TEX,101,343,399,78,46,15,0,17,48,51,44,2,90,7,3,1,3,1,.228
244,Trevor Larnach,MIN,106,388,440,96,64,19,1,12,51,48,44,1,99,4,4,0,4,1,.247
245,Ke'Bryan Hayes,CIN,127,465,505,112,83,19,2,8,52,46,32,1,98,3,3,1,10,4,.241
246,Edmundo Sosa,PHI,66,226,246,56,37,10,1,8,28,28,10,0,57,5,2,2,3,1,.248
247,Dalton Rushing,LAD,56,178,200,40,24,9,1,7,24,24,18,1,57,3,1,0,1,0,.222
248,Mauricio Dubón,ATL,108,381,408,96,72,15,3,6,42,38,19,0,52,2,3,2,3,1,.251
249,Luis Campusano,SDP,72,237,261,54,38,9,0,6,25,27,20,0,53,2,2,0,0,0,.228
250,Brett Baty,NYM,112,401,443,94,62,17,0,15,49,50,35,1,113,3,2,1,4,1,.235
251,Lourdes Gurriel Jr.,ARI,80,310,337,82,56,16,1,10,40,42,20,0,53,3,3,0,4,2,.266
252,Nasim Nuñez,WSN,95,309,346,71,54,11,1,4,38,21,29,0,82,2,2,4,23,4,.229
253,Jasson Domínguez,NYY,61,213,238,51,32,10,1,8,31,25,22,1,61,2,1,0,10,2,.239
254,Kyle Karros,COL,65,232,257,62,44,13,1,5,28,28,20,1,60,3,2,0,2,1,.266
255,Ramón Urías,STL,73,257,283,62,42,12,1,8,30,31,20,0,62,3,2,0,2,1,.239
256,Connor Wong,BOS,60,201,221,46,32,9,1,5,23,22,14,0,55,3,1,1,4,1,.230
257,Jake McCarthy,COL,93,332,367,88,64,14,4,5,47,31,23,0,63,6,2,4,17,3,.265
258,Carson Benge,NYM,93,335,371,80,53,17,1,9,41,38,30,2,80,4,2,1,7,1,.239
259,Kody Clemens,MIN,74,260,287,60,35,12,1,12,34,37,21,0,71,2,3,1,3,1,.232
260,Samuel Basallo,BAL,108,386,423,91,57,18,1,15,47,51,31,2,101,3,3,1,3,1,.236
261,Blaze Alexander,BAL,83,290,325,64,43,11,2,8,38,28,26,0,105,6,2,2,7,2,.220
262,Chandler Simpson,TBR,109,415,448,119,100,15,4,0,57,29,23,1,45,1,3,5,37,6,.286
263,Javier Sanoja,MIA,61,207,223,56,40,11,2,3,25,22,12,1,21,1,2,1,7,2,.270
264,Brooks Baldwin,CHW,99,347,379,82,52,15,2,12,43,40,24,1,92,2,3,3,7,2,.235
265,Gary Sánchez,MIL,44,148,166,31,19,5,0,7,17,24,13,0,46,3,1,0,0,0,.212
266,Lane Thomas,KCR,95,348,387,81,50,17,2,12,50,42,31,0,96,4,3,0,17,4,.233
267,Giancarlo Stanton,NYY,96,351,392,76,41,12,0,24,48,59,37,2,124,2,2,0,0,0,.218
268,Edgar Quero,CHW,109,382,427,97,70,17,1,8,44,42,35,1,75,5,4,1,1,1,.253
269,Jake Rogers,DET,54,175,195,36,22,8,0,6,20,21,16,0,57,2,1,1,1,0,.206
270,Victor Robles,SEA,85,297,334,70,49,12,2,6,41,26,21,0,76,8,2,5,17,5,.234
271,Braxton Fulford,COL,55,182,200,44,28,10,1,5,23,23,13,0,55,3,1,1,3,1,.241
272,Luke Raley,SEA,82,270,308,59,37,11,1,10,36,34,23,0,93,11,2,2,6,1,.219
273,Adolis García,PHI,135,514,563,120,72,23,1,24,67,75,38,1,144,5,5,1,10,4,.234
274,Mitch Garver,SEA,30,99,114,20,12,4,0,4,12,14,12,0,33,1,1,0,0,0,.201
275,Joe Mack,MIA,63,220,242,48,31,9,0,7,23,27,18,1,68,2,1,1,2,0,.216
276,Spencer Horwitz,PIT,118,428,486,107,73,23,1,10,53,52,49,1,86,5,4,1,2,1,.249
277,Amed Rosario,NYY,66,233,249,61,44,11,1,5,28,24,11,0,44,2,2,0,6,2,.261
278,James McCann,ARI,53,176,194,42,29,8,0,5,20,22,11,0,51,2,2,1,1,0,.238
279,Bryce Eldridge,SFG,99,356,395,85,51,17,1,17,46,53,33,4,118,3,3,0,2,0,.240
280,Rob Refsnyder,SEA,62,203,233,49,32,9,1,7,28,26,24,1,61,3,1,1,3,1,.239
281,Will Benson,CIN,62,203,229,45,25,10,1,9,29,27,22,1,71,2,1,0,7,2,.223
282,Chase DeLauter,CLE,102,401,440,96,64,20,1,11,45,48,33,1,84,3,3,1,4,1,.239
283,Tyler Heineman,TOR,42,129,145,27,20,4,0,3,14,11,10,0,31,2,1,2,2,1,.209
284,Taylor Walls,TBR,85,289,324,63,42,13,2,6,37,27,30,0,76,1,3,2,15,4,.217
285,Austin Hays,CHW,111,411,449,99,64,21,1,13,48,50,29,1,107,5,3,1,3,1,.241
286,Nick Fortes,TBR,90,281,308,61,43,11,1,6,28,28,16,0,56,5,2,4,2,1,.217
287,Christian Moore,LAA,106,369,410,80,54,14,2,11,43,39,34,1,132,3,2,1,7,2,.218
288,Jonny DeLuca,TBR,72,256,279,59,39,12,2,6,31,27,17,1,57,3,2,1,9,2,.231
289,Edouard Julien,COL,81,270,312,66,45,13,1,7,36,32,36,1,90,3,2,1,3,1,.244
290,Leo Jiménez,TOR,36,110,124,27,18,5,0,3,14,13,9,0,27,4,1,0,1,0,.241
291,Mickey Moniak,COL,118,438,473,111,64,24,4,20,61,66,27,1,117,4,3,0,9,3,.254
292,Matt Vierling,DET,64,228,253,56,37,11,1,7,28,27,19,0,55,2,2,0,3,1,.244
293,Jacob Young,WSN,83,281,312,68,55,10,2,1,33,16,20,0,58,4,2,6,17,4,.241
294,Coby Mayo,BAL,45,154,171,34,20,7,1,6,20,20,14,0,49,2,1,0,1,0,.222
295,Daniel Schneemann,CLE,51,174,195,38,25,7,1,5,22,19,18,0,52,1,1,1,4,1,.221
296,Darell Hernaiz,ATH,51,179,197,46,34,9,1,3,21,17,13,0,30,1,2,2,4,1,.258
297,Vaughn Grissom,LAA,65,234,257,58,43,11,1,4,26,23,17,0,51,4,2,0,4,1,.247
298,Jonah Heim,ATL,37,123,135,27,18,5,0,4,13,15,10,0,27,1,1,0,1,0,.219
299,Gavin Sheets,SDP,117,427,473,102,65,22,1,14,52,54,39,1,93,4,3,0,2,1,.238
300,Noelvi Marte,CIN,123,470,509,117,75,23,2,17,61,59,30,1,117,5,3,1,14,4,.249
301,Thomas Saggese,STL,63,228,247,55,39,11,1,5,25,24,14,0,65,3,2,1,3,1,.243
302,Jett Williams,MIL,37,135,150,30,19,7,1,4,16,16,12,0,39,2,1,0,5,1,.225
303,Travis Bazzana,CLE,54,189,214,41,27,8,1,5,22,20,21,0,60,2,1,1,3,1,.215
304,Keibert Ruiz,WSN,86,311,335,71,51,14,0,6,27,35,17,0,38,4,3,0,1,1,.229
305,Spencer Steer,CIN,101,369,417,85,54,17,2,13,48,45,39,0,90,5,3,1,8,2,.232
306,Brady House,WSN,123,464,493,110,77,20,2,11,46,52,22,1,139,4,3,1,5,2,.236
307,J.C. Escarra,NYY,43,132,148,28,19,6,0,3,14,13,12,0,28,2,1,0,1,0,.208
308,Liam Hicks,MIA,82,270,309,65,48,12,1,3,29,26,30,0,49,6,3,1,1,0,.239
309,Josh Lowe,LAA,113,421,465,97,62,20,3,12,56,43,37,2,127,2,3,1,21,5,.230
310,TJ Friedl,CIN,133,498,577,115,82,19,2,12,64,49,57,0,96,12,4,6,11,4,.231
311,Ben Williamson,TBR,61,217,235,55,41,10,1,2,24,20,14,0,50,2,1,1,4,1,.252
312,Jake Fraley,TBR,96,322,359,76,52,15,2,7,41,34,31,1,76,4,2,0,13,3,.236
313,Javier Báez,DET,92,329,354,76,51,16,0,9,36,38,14,0,87,5,3,1,5,2,.231
314,Michael Massey,KCR,71,260,281,61,39,13,1,8,29,34,14,0,52,3,3,1,2,1,.236
315,Nick Castellanos,SDP,83,309,334,78,52,15,2,10,38,39,20,0,77,3,3,0,3,1,.253
316,Leo Rivas,SEA,47,135,158,29,22,5,0,2,17,11,18,0,39,1,1,2,6,2,.217
317,Jimmy Crooks,STL,27,90,100,22,15,4,0,2,10,10,7,0,25,1,1,0,0,0,.239
318,Rhys Hoskins,CLE,96,336,387,72,43,15,0,15,43,47,43,1,101,5,3,0,2,1,.216
319,Dane Myers,CIN,63,217,236,53,37,9,1,6,27,24,15,0,59,3,2,0,7,2,.244
320,Nolan Gorman,STL,122,442,497,91,53,18,1,19,52,60,48,2,163,3,3,0,4,1,.205
321,Tyler Austin,CHC,40,139,157,33,19,7,0,7,19,21,15,0,44,1,1,0,0,0,.239
322,Alex Call,LAD,46,151,173,35,25,7,1,3,21,16,17,0,32,2,1,2,3,1,.235
323,Andy Ibáñez,ATH,54,170,186,41,28,8,0,4,20,19,12,0,37,2,1,0,3,1,.242
324,Tommy Pham,,59,211,236,51,34,10,0,7,28,26,21,0,54,2,2,0,4,1,.241
325,Colby Thomas,ATH,68,242,262,56,33,13,1,9,31,30,14,0,82,4,2,1,5,1,.231
326,Derek Hill,CHW,37,125,136,30,20,5,1,4,16,12,7,0,40,1,1,1,4,1,.236
327,Max Kepler,,34,120,135,28,17,6,0,5,15,17,12,1,27,1,1,0,0,0,.235
328,José Fermín,STL,46,142,160,34,25,7,0,2,17,13,14,1,21,3,1,1,5,1,.242
329,Nathan Lukes,TOR,81,284,315,72,53,12,1,5,34,29,23,1,50,2,2,3,3,1,.254
330,Jake Mangum,PIT,83,307,327,81,64,14,2,1,36,25,14,0,55,3,2,1,12,3,.265
331,Ezequiel Duran,TEX,74,252,271,58,40,11,1,5,29,24,13,0,66,3,2,1,8,2,.229
332,Tom Murphy,,17,57,64,13,8,3,0,2,7,8,5,0,19,1,0,0,0,0,.226
333,Ryan Waldschmidt,ARI,40,144,161,35,24,7,1,3,19,17,14,1,35,2,1,0,4,1,.247
334,Blake Perkins,MIL,55,190,212,41,28,7,2,4,23,18,19,0,59,1,1,1,7,2,.216
335,Walker Jenkins,MIN,26,96,107,24,16,5,1,2,12,10,9,0,23,1,1,0,2,0,.247
336,César Salazar,HOU,40,102,115,21,15,4,0,2,10,9,8,0,23,3,1,1,1,0,.204
337,Christian Vázquez,HOU,31,103,114,23,17,4,0,2,11,11,7,0,23,1,1,1,1,1,.223
338,Sung-Mun Song,SDP,66,241,262,54,36,12,0,6,27,26,18,1,54,1,2,0,5,1,.224
339,Austin Wynns,ATH,43,140,153,31,21,5,0,4,15,15,9,0,43,1,1,1,1,0,.221
340,JJ Bleday,CIN,85,294,332,67,38,14,1,14,38,42,34,1,76,2,2,0,2,1,.227
341,Enrique Hernández,LAD,52,178,195,41,25,9,0,7,22,24,14,0,43,1,2,1,1,0,.230
342,Rafael Marchán,PHI,45,144,160,32,23,7,0,2,15,15,11,0,27,2,1,1,1,0,.223
343,Dominic Canzone,SEA,105,379,414,88,56,17,1,14,44,52,30,2,97,3,3,1,3,1,.234
344,Drew Millas,WSN,36,116,126,28,20,6,0,1,12,11,9,1,22,1,1,1,3,1,.238
345,Randal Grichuk,NYY,41,145,157,35,20,7,0,7,18,20,10,0,33,1,1,0,0,0,.239
346,Paul Goldschmidt,NYY,89,330,362,80,52,16,0,12,41,42,26,1,83,2,2,0,4,2,.243
347,Max Muncy,ATH,87,313,341,72,46,15,1,10,38,35,20,1,102,4,2,2,5,1,.230
348,Jeremiah Jackson,BAL,57,213,227,50,33,10,1,6,25,24,11,0,54,1,2,0,4,1,.234
349,Matt Shaw,CHC,77,269,297,64,44,12,2,7,36,29,23,0,61,3,2,1,10,3,.238
350,Jose Iglesias,,46,145,159,38,29,6,1,2,17,14,8,0,27,2,1,1,2,1,.259
351,Zack Gelof,ATH,42,146,161,32,20,7,0,5,20,16,12,0,54,1,1,1,6,2,.219
352,Miguel Rojas,LAD,49,160,177,39,29,7,0,3,20,17,11,0,25,1,1,1,3,1,.244
353,Ryan Mountcastle,BAL,46,169,184,44,29,8,1,6,21,22,12,0,44,1,2,0,1,0,.259
354,Joshua Báez,STL,30,83,93,20,12,5,0,3,12,11,7,0,27,1,1,0,4,0,.237
355,Juan Brito,CLE,28,101,113,23,15,5,0,2,12,11,10,0,22,1,1,0,2,0,.230
356,Eli White,ATL,44,142,154,34,23,5,2,4,20,15,9,0,42,2,1,0,6,1,.241
357,Oswald Peraza,LAA,68,221,242,48,32,9,1,7,27,22,16,0,64,3,1,0,9,2,.216
358,Andrew Knizner,SEA,30,97,108,20,15,4,0,2,9,9,7,0,23,2,1,0,0,0,.208
359,Nathan Church,STL,53,170,185,42,31,7,1,3,19,16,10,1,28,2,1,1,4,1,.246
360,Sam Haggerty,TEX,59,195,217,47,34,9,1,3,27,16,17,0,48,3,1,1,12,3,.241
361,Endy Rodríguez,PIT,24,80,88,19,12,4,0,2,9,9,6,0,18,1,1,0,1,0,.236