#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
385,Jhony Brito,SDP,2,2,4.14,40,2,0,1,,47.0,200,47,23,22,6,15,1,2,37
386,Brusdar Graterol,LAD,1,1,3.62,22,0,0,1,,22.0,93,21,10,9,2,7,1,1,20
387,Tyler Kinley,COL,3,3,4.52,64,0,18,6,,64.0,277,62,34,32,9,26,1,3,66
388,Max Lazar,PHI,2,2,4.20,50,0,0,4,,50.0,214,50,25,23,7,17,1,2,41
389,Jorge López,WSN,3,3,3.98,60,0,7,12,,60.0,257,58,29,27,7,21,3,4,52
390,Drew Smyly,,2,2,3.95,38,0,0,0,,38.0,160,35,18,17,5,12,2,2,37
391,Joe Jiménez,ATL,1,1,3.70,27,0,0,1,,27.0,113,23,12,11,3,9,1,1,31
392,Scott Barlow,CIN,3,3,4.20,58,0,0,7,,58.0,252,54,29,27,8,24,2,3,62
393,Jonathan Bowlan,KCR,2,2,4.18,40,0,0,1,,40.0,171,41,20,19,5,12,1,2,33
394,Porter Hodge,CHC,3,3,3.76,63,0,11,10,,63.0,270,54,29,26,7,29,1,3,68
395,Triston McKenzie,CLE,6,8,4.81,42,18,0,1,,121.2,532,119,69,65,20,52,1,4,115
396,Ty Madden,DET,2,2,3.82,32,0,0,1,,32.0,135,29,15,14,4,10,1,1,31
397,Robert Stephenson,LAA,2,2,3.92,32,0,0,1,,32.0,134,28,15,14,5,11,1,1,37
398,Patrick Sandoval,BOS,1,1,3.76,8,2,0,1,,14.2,63,14,7,6,2,6,0,1,15
399,Wandy Peralta,SDP,3,2,3.73,52,0,0,4,,52.0,223,49,24,22,5,21,1,3,47
400,Tommy Kahnle,DET,3,3,3.69,58,0,2,10,,58.0,249,52,26,24,6,24,1,3,58
401,Josh Sborz,TEX,2,2,3.87,38,0,3,1,,38.0,162,34,18,16,5,15,1,1,41
402,Elvis Peguero,MIL,3,3,3.89,56,0,0,9,,56.0,241,53,26,24,6,23,1,3,53
403,John King,STL,3,3,3.73,59,0,0,12,,59.0,252,62,27,24,5,18,1,2,41
404,Ryan Fernandez,STL,3,3,3.82,65,0,1,16,,65.0,276,59,30,28,7,26,2,2,64
405,José Buttó,NYM,3,3,3.89,63,0,1,16,,63.0,269,57,29,27,8,23,1,3,63
406,Eiberson Castellano,MIN,2,2,3.93,42,0,0,1,,42.0,179,40,20,18,5,15,1,3,41
407,Seth Halvorsen,COL,3,3,4.73,63,0,9,8,,63.0,277,65,36,33,9,27,2,3,57
408,Brendon Little,TOR,3,3,3.62,56,0,0,10,,56.0,241,54,25,23,4,24,1,2,48
409,Andrew Chafin,DET,3,3,3.70,55,0,0,6,,55.0,237,48,25,23,6,24,1,2,59
410,Cooper Criswell,BOS,2,2,4.34,23,2,0,1,,29.2,128,32,16,14,4,8,0,2,23
411,José Quijada,LAA,3,3,4.00,62,0,0,12,,62.0,268,52,30,28,8,31,2,3,72
412,Yilber Diaz,ARI,3,2,4.05,42,2,0,1,,49.0,211,45,24,22,6,20,1,2,51
413,Danny Young,NYM,3,2,3.59,56,0,0,10,,56.0,242,50,25,22,5,24,1,4,58
414,Keider Montero,DET,2,2,4.13,20,3,0,1,,35.1,150,34,17,16,5,12,0,2,31
415,Troy Taylor,SEA,3,3,3.82,54,0,0,4,,54.0,231,49,25,23,6,22,1,3,53
416,Carson Spiers,CIN,2,2,4.60,38,2,0,1,,45.0,193,46,25,23,8,14,1,2,40
417,Chayce McDermott,BAL,3,2,3.97,31,3,0,1,,46.1,198,40,22,20,6,20,1,2,50
418,James McArthur,KCR,2,1,3.91,31,0,0,1,,31.0,132,31,15,13,3,10,1,2,28
419,Ryne Stanek,NYM,3,3,3.78,58,0,0,12,,58.0,246,48,26,24,7,24,2,2,66
420,Bryse Wilson,CHW,4,7,5.08,39,13,0,1,,96.1,423,105,58,54,17,32,2,4,71
421,Noah Cameron,KCR,1,1,3.63,21,0,0,1,,21.0,88,20,9,8,2,6,1,1,20
422,Justin Anderson,CHW,3,3,4.13,63,0,7,11,,63.0,272,58,31,29,8,28,2,3,63
423,Connor Thomas,MIL,3,3,3.86,54,0,0,6,,54.0,229,56,25,23,6,14,1,2,39
424,Edwin Uceta,TBR,3,3,4.05,65,0,9,11,,65.0,277,58,31,29,9,26,2,3,68
425,Bryan Baker,BAL,3,2,4.01,51,0,0,1,,51.0,218,46,24,23,7,21,1,2,53
426,Yosver Zulueta,CIN,2,2,4.08,46,0,0,1,,46.0,201,44,23,21,5,21,1,3,45
427,Michael Kopech,LAD,3,2,4.04,53,0,3,10,,53.0,225,44,25,24,7,24,1,3,63
428,Hurston Waldrep,ATL,2,2,4.33,15,3,0,1,,30.0,131,30,16,15,4,13,0,1,27
429,Jacob Lopez,ATH,2,2,3.80,41,0,0,1,,41.0,174,36,19,17,5,16,1,2,40
430,Andrew Walters,CLE,3,3,4.13,56,0,0,8,,56.0,242,50,27,26,7,25,1,2,62
431,Robby Snelling,MIA,1,2,4.61,5,5,0,0,,27.2,121,29,15,14,4,11,0,1,20
432,Daniel Palencia,CHC,2,2,3.67,38,0,0,1,,38.0,161,32,17,16,4,17,1,2,43
433,Alexis Díaz,CIN,3,3,4.49,65,0,28,3,,65.0,284,59,35,32,10,31,2,4,71
434,Sam Moll,CIN,3,3,4.05,55,0,0,10,,55.0,237,51,27,25,7,23,2,3,56
435,Justin Topa,MIN,2,2,3.93,50,0,0,1,,50.0,215,50,24,22,5,17,1,2,44
436,Kevin Kelly,TBR,3,3,3.87,53,0,0,5,,53.0,225,53,25,23,6,15,1,4,46
437,Michael Fulmer,BOS,2,2,4.21,50,0,0,1,,50.0,215,48,25,23,6,20,2,2,49
438,Emiliano Teodo,TEX,2,2,4.11,30,2,0,1,,37.1,162,34,18,17,4,18,1,2,38
439,Tink Hence,STL,1,1,4.31,3,3,0,0,,18.1,79,18,10,9,2,7,0,1,15
440,Colin Selby,BAL,2,2,3.72,46,0,0,1,,46.0,197,41,21,19,5,20,1,2,48
441,Declan Cronin,MIA,3,3,4.01,67,0,1,13,,67.0,289,67,33,30,6,26,2,4,57
442,Tayler Saucedo,SEA,3,3,3.62,61,0,0,12,,61.0,260,55,27,25,6,25,2,3,57
443,Trevor Stephan,CLE,2,2,3.92,36,0,0,1,,36.0,152,33,17,16,4,13,1,2,38
444,Walter Pennington,TEX,2,2,3.80,42,0,0,1,,42.0,180,40,19,18,4,17,1,2,39
445,Brandon Eisert,CHW,1,1,3.97,28,0,0,1,,28.0,120,27,13,12,4,10,1,1,26
446,Jackson Jobe,DET,6,8,4.64,31,19,0,1,,122.2,535,124,68,63,18,46,1,5,95
447,Carlos Hernández,KCR,2,2,4.16,48,0,0,1,,48.0,206,45,24,22,6,20,2,2,48
448,Taijuan Walker,PHI,3,4,4.49,51,3,0,1,,65.2,283,68,35,33,10,21,1,3,51
449,Stephen Kolek,SDP,2,3,4.08,31,3,0,1,,46.1,200,46,23,21,5,17,1,3,37
450,Dennis Santana,PIT,3,3,4.14,66,0,2,12,,66.0,285,63,33,30,7,27,2,3,62
451,Ross Stripling,KCR,2,2,4.44,28,2,0,1,,34.2,149,38,18,17,5,8,1,1,25
452,Hans Crouse,LAA,3,3,4.25,56,0,0,7,,56.0,242,49,28,26,8,27,1,2,63
453,Michael Tonkin,MIN,3,3,4.12,63,0,0,12,,63.0,269,59,31,29,8,23,1,3,62
454,Cionel Pérez,BAL,3,3,3.77,56,0,0,7,,56.0,241,52,26,23,5,25,1,3,52
455,Manuel Rodríguez,TBR,3,3,3.88,61,0,2,13,,61.0,261,58,29,26,7,23,2,3,58
456,Cam Booser,CHW,3,3,4.05,60,0,0,11,,60.0,257,55,29,27,9,24,1,2,62
457,Enyel De Los Santos,ATL,2,2,4.06,35,0,0,1,,35.0,150,32,17,16,5,13,1,2,36
458,Alek Manoah,TOR,1,1,4.12,10,2,0,1,,17.0,73,16,8,8,2,6,0,1,17
459,Tony Santillan,CIN,3,3,4.30,58,0,1,11,,58.0,251,52,30,28,9,26,1,3,65
460,Tyler Ferguson,ATH,3,3,3.88,62,0,1,15,,62.0,267,55,29,27,7,28,2,3,63
461,Sean Guenther,DET,2,2,3.67,43,0,0,1,,43.0,182,43,19,18,4,13,1,2,34
462,Evan Sisk,KCR,2,2,3.98,36,0,0,1,,36.0,157,35,17,16,3,16,1,2,33
463,Matt Manning,DET,2,2,3.96,28,2,0,1,,35.0,148,34,17,15,4,10,0,1,30
464,Jake Bird,COL,3,3,4.64,61,0,1,10,,61.0,268,64,34,31,8,25,2,4,53
465,Zach Penrod,BOS,1,1,4.02,18,0,0,1,,18.0,78,16,9,8,2,8,0,1,19
466,Chase Lee,DET,1,1,3.68,24,0,0,1,,24.0,102,22,11,10,2,8,1,1,23
467,Justin Wrobleski,LAD,2,2,4.07,36,0,0,1,,36.0,153,34,18,16,5,12,1,1,33
468,Huascar Brazobán,NYM,3,2,3.87,51,0,0,7,,51.0,219,46,24,22,6,23,1,2,51
469,Tyler Stuart,WSN,1,1,3.78,21,0,0,1,,21.0,88,20,10,9,2,6,1,1,19
470,Beau Brieske,DET,3,3,3.91,66,0,10,10,,66.0,281,60,31,29,8,24,2,2,64
471,Tyler Rogers,SFG,3,3,4.00,70,0,1,14,,70.0,298,74,34,31,8,17,1,4,50
472,Caleb Kilian,CHC,2,2,4.28,24,2,0,1,,31.0,134,32,16,15,4,10,1,2,24
473,Dauri Moreta,PIT,2,2,4.10,37,0,0,1,,37.0,159,34,18,17,5,15,1,2,39
474,José Ruiz,PHI,3,3,4.10,62,0,0,10,,62.0,265,58,30,28,8,24,1,2,60
475,Bennett Sousa,HOU,2,2,3.93,48,0,0,1,,48.0,206,45,23,21,6,19,1,2,46
476,Kevin Herget,NYM,2,2,4.01,34,0,0,1,,34.0,143,33,16,15,5,9,1,1,29
477,Joe Rock,TBR,1,1,4.03,19,2,0,1,,26.1,111,27,13,12,3,7,0,1,22
478,Zack Kelly,BOS,1,1,4.07,26,0,0,1,,26.0,112,24,13,12,3,12,1,1,27
479,Sam Aldegheri,LAA,1,1,4.86,3,3,0,0,,18.0,80,18,10,10,3,8,0,1,16
480,Carlos Carrasco,NYY,1,1,4.27,17,2,0,1,,23.2,101,24,12,11,4,7,0,1,21
481,Phil Maton,,3,3,4.23,56,0,0,0,,56.0,242,54,28,26,7,21,1,4,51
482,Jake Bloss,TOR,2,3,4.75,19,5,0,1,,41.0,179,42,23,22,6,15,0,2,34
483,Jacob Latz,TEX,2,2,4.11,46,0,0,1,,46.0,200,41,23,21,6,21,1,2,48
484,Chad Green,TOR,3,3,4.10,63,0,5,12,,63.0,266,59,31,29,9,19,2,2,61
485,Lucas Gilbreath,COL,2,2,4.61,46,0,0,1,,46.0,204,46,25,24,6,22,1,3,43
486,Richard Fitts,BOS,3,3,4.50,39,3,0,1,,54.1,232,57,29,27,8,15,1,2,42
487,Eduard Bazardo,SEA,2,2,3.69,50,0,0,1,,50.0,210,45,22,21,6,17,1,2,49
488,Kyle Hart,SDP,6,7,4.64,39,15,0,1,,107.0,465,111,59,55,17,37,1,5,77
489,Austin Adams,BOS,1,1,4.33,24,0,0,1,,24.0,105,21,12,12,3,11,1,2,26
490,Cristian Javier,HOU,1,1,4.01,17,0,0,1,,17.0,71,15,8,8,3,6,0,1,19
491,Tim Mayza,PIT,3,3,4.10,55,0,0,4,,55.0,239,58,27,25,6,20,2,2,43
492,Brooks Raley,,1,1,3.96,26,0,0,0,,26.0,112,24,12,11,3,10,1,1,25
493,Carson Seymour,SFG,1,1,3.63,24,0,0,1,,24.0,101,23,11,10,2,7,1,1,21
494,Fraser Ellard,CHW,3,3,4.13,62,0,6,10,,62.0,271,58,31,28,8,30,2,3,59
495,Carmen Mlodzinski,PIT,3,3,4.22,61,0,1,12,,61.0,264,60,31,29,7,24,2,3,55
496,Ryan Borucki,PIT,1,1,3.90,28,0,0,1,,28.0,120,27,13,12,3,11,1,2,26
497,Luis García,LAD,1,1,3.91,17,0,0,1,,17.0,72,17,8,7,2,5,0,1,15
498,Tommy Nance,TOR,3,3,4.09,54,0,0,7,,54.0,232,53,27,25,6,19,2,3,48
499,Kyle Nelson,ARI,2,2,4.13,35,0,0,1,,35.0,151,34,17,16,4,13,1,2,32
500,Brandon Young,BAL,1,1,3.84,22,0,0,1,,22.0,92,21,10,9,3,6,1,1,22
501,Shawn Dubin,HOU,2,2,3.93,33,0,0,1,,33.0,141,30,16,14,4,14,1,1,34
502,Bryan Hoeing,SDP,3,3,4.02,56,0,0,9,,56.0,238,56,27,25,7,17,2,2,46
503,Cristian Mena,ARI,1,1,4.19,14,2,0,1,,21.0,91,21,11,10,2,8,0,1,19
504,Franco Aleman,CLE,2,2,3.92,31,0,0,1,,31.0,133,29,15,14,4,11,1,2,31
505,Hunter Gaddis,CLE,3,3,4.14,65,0,0,17,,65.0,276,62,32,30,10,19,1,3,61
506,Erik Swanson,TOR,3,3,4.09,60,0,0,13,,60.0,256,57,29,27,8,21,1,2,58
507,Héctor Neris,ATL,3,3,4.06,56,0,0,10,,56.0,240,51,27,25,7,23,1,3,60
508,Erik Sabrowski,CLE,2,2,3.83,50,0,0,4,,50.0,215,43,23,21,6,25,1,2,57
509,Colton Gordon,HOU,1,1,4.14,17,2,0,1,,24.1,103,23,12,11,4,7,0,1,21
510,Trent Thornton,SEA,3,3,3.84,67,0,0,14,,67.0,283,61,31,29,9,22,1,3,66
511,Nic Enright,CLE,2,2,3.97,41,0,0,1,,41.0,173,38,19,18,6,13,1,2,42
512,Carson Ragsdale,SFG,1,1,3.73,28,0,0,1,,28.0,118,25,13,12,3,10,1,1,29
513,Josh Simpson,MIA,2,2,3.92,33,0,0,1,,33.0,143,30,16,14,4,16,1,2,34
514,Richard Lovelady,TOR,2,2,3.86,32,0,0,1,,32.0,136,31,15,14,4,11,1,2,29
515,Kendall Graveman,ARI,3,3,4.10,53,0,0,7,,53.0,231,51,26,24,6,23,1,3,51
516,Justin Lawrence,PIT,3,3,4.12,66,0,0,8,,66.0,287,63,33,30,7,31,2,4,61
517,Mason Black,SFG,3,3,4.14,37,3,0,1,,51.2,222,50,26,24,7,17,1,3,47
518,J.P. France,HOU,2,2,4.39,23,2,0,1,,30.1,129,30,16,15,4,10,0,1,27
519,Sean Reid-Foley,NYM,1,1,3.78,22,0,0,1,,22.0,95,19,10,9,2,11,1,1,24
520,Grant Anderson,MIL,2,2,4.14,34,0,0,1,,34.0,145,32,17,16,5,13,1,2,33
521,José Cisnero,,1,1,4.01,24,0,0,0,,24.0,104,22,12,11,3,10,1,1,24
522,Jacob Misiorowski,MIL,2,2,3.97,36,0,0,1,,36.0,156,31,17,16,4,18,1,3,40
523,Chase Petty,CIN,2,2,4.77,18,3,0,1,,33.1,146,35,19,18,5,12,0,1,26
524,Ian Seymour,TBR,2,2,4.27,18,3,0,1,,33.1,143,32,17,16,5,11,0,2,30
525,Cody Poteet,CHC,2,1,3.85,30,0,0,1,,30.0,126,28,14,13,4,10,1,1,28
526,Davis Daniel,ATL,1,1,4.00,15,0,0,1,,15.0,63,15,7,7,2,4,0,1,14
527,Josh Walker,TOR,2,2,3.87,39,0,0,1,,39.0,167,35,18,17,5,17,1,2,40
528,Jordan Leasure,CHW,3,3,4.40,62,0,0,10,,62.0,270,58,32,30,9,29,1,3,61
529,Drue Hackenberg,ATL,1,1,4.47,2,2,0,0,,9.1,41,9,5,5,1,4,0,1,8
530,Carlos Rodriguez,MIL,2,2,4.56,15,3,0,1,,30.0,130,29,16,15,5,11,0,2,27
531,Jimmy Herget,COL,2,3,4.88,50,0,0,4,,50.0,217,54,29,27,8,15,2,2,42
532,Eli Morgan,CHC,2,2,4.24,50,0,0,1,,50.0,212,48,25,24,8,15,1,2,47
533,Brent Headrick,NYY,2,2,3.92,34,0,0,1,,34.0,143,31,16,15,5,10,1,2,34
534,Hunter Stratton,PIT,1,1,4.16,15,0,0,1,,15.0,65,14,7,7,2,6,0,1,14
535,Jonathan Pintaro,NYM,1,1,4.42,2,2,0,0,,9.1,40,9,5,5,1,3,0,0,7
536,Gerson Garabito,TEX,1,1,4.10,18,0,0,1,,18.0,77,17,9,8,2,6,0,1,17
537,Carson Palmquist,COL,1,1,5.28,3,3,0,0,,18.1,82,19,11,11,3,8,0,1,16
538,Brandyn Garcia,SEA,1,1,3.53,21,0,0,1,,21.0,89,19,9,8,2,8,1,1,20
539,Nick Robertson,TOR,2,2,4.00,42,0,0,1,,42.0,180,40,20,19,5,16,1,2,40
540,Nick Sandlin,TOR,3,3,4.09,59,0,0,12,,59.0,254,53,29,27,8,26,2,3,62
541,Edgardo Henriquez,LAD,2,2,4.30,33,0,0,1,,33.0,143,30,17,16,5,16,1,2,34
542,JT Chargois,TEX,1,1,4.21,24,0,0,1,,24.0,104,23,12,11,3,9,1,1,23
543,Daniel Robert,TEX,2,2,4.32,33,0,0,1,,33.0,143,31,17,16,5,13,1,2,32
544,Hagen Danner,SEA,1,1,3.80,28,0,0,1,,28.0,118,25,13,12,4,10,1,1,29
545,James Karinchak,CHW,2,2,4.29,37,0,0,1,,37.0,161,31,19,18,5,19,1,2,43
546,Logan Henderson,MIL,1,0,3.83,10,0,0,1,,10.0,42,9,5,4,1,3,0,0,11
547,Travis Adams,MIN,1,1,4.46,17,2,0,1,,24.1,105,26,13,12,3,7,0,1,18
548,Tyler Alexander,MIL,3,3,4.42,52,2,0,4,,59.0,250,60,31,29,10,13,1,2,50
549,Thomas Harrington,PIT,0,1,4.78,2,2,0,0,,9.1,40,10,5,5,2,3,0,0,7
550,Keynan Middleton,,1,1,4.03,18,0,0,0,,18.0,77,16,9,8,2,8,0,1,18
551,Chad Patrick,MIL,1,1,4.03,24,0,0,1,,24.0,101,23,12,11,4,6,1,1,22
552,Jhonathan Díaz,SEA,1,1,4.21,2,2,0,0,,9.0,40,9,5,4,1,4,0,1,7
553,Mason Barnett,ATH,1,1,4.45,2,2,0,0,,9.1,40,9,5,5,1,4,0,0,8
554,Connor Phillips,CIN,1,1,4.31,21,0,0,1,,21.0,91,19,11,10,3,9,1,1,23
555,Tommy Henry,ARI,1,1,3.94,24,0,0,1,,24.0,102,23,11,11,3,8,1,1,22
556,Garrett McDaniels,LAA,3,3,4.14,52,0,0,4,,52.0,227,52,26,24,6,22,1,2,44
557,Mason Thompson,WSN,2,2,4.15,42,0,0,1,,42.0,180,41,21,19,5,16,1,2,35
558,Adam Macko,TOR,1,1,4.55,2,2,0,0,,9.1,41,9,5,5,1,4,0,1,8
559,Carlos Vargas,SEA,3,3,3.77,56,0,0,7,,56.0,240,53,26,23,6,22,1,3,49
560,Tekoah Roby,STL,0,1,4.65,2,2,0,0,,9.1,40,10,5,5,1,3,0,0,7
561,Nick Frasso,LAD,1,1,4.05,15,0,0,1,,15.0,64,14,7,7,2,5,0,1,14
562,Joely Rodríguez,BOS,1,1,3.94,30,0,0,0,,30.0,129,30,14,13,3,12,1,1,25
563,Tyler Wells,BAL,0,0,3.97,8,0,0,1,,8.0,33,8,4,4,1,2,0,0,8
564,Kyle Amendt,ARI,1,1,4.03,21,0,0,1,,21.0,91,19,10,9,2,10,1,1,22
565,Jacob Webb,TEX,3,3,4.36,62,0,2,14,,62.0,269,58,32,30,9,27,2,3,60
566,Evan Reifert,WSN,2,3,4.12,52,0,0,6,,52.0,226,47,26,24,6,25,1,3,52
567,Kyle Nicolas,PIT,2,2,4.12,44,0,0,1,,44.0,191,40,22,20,5,20,1,2,45
568,Andrew Morris,MIN,0,0,3.95,8,0,0,1,,8.0,34,8,4,4,1,2,0,0,7
569,Dillon Tate,,2,2,4.24,33,0,0,0,,33.0,143,34,17,16,4,11,1,2,25
570,Colten Brewer,NYY,1,1,4.23,22,0,0,1,,22.0,95,21,11,10,3,8,1,1,20
571,Drew Pomeranz,SEA,1,1,3.65,14,0,0,1,,14.0,59,12,6,6,2,5,0,1,14
572,Sem Robberse,STL,1,1,3.97,21,0,0,1,,21.0,89,21,10,9,3,6,1,1,18
573,Josiah Gray,WSN,1,1,4.62,10,2,0,1,,17.0,73,16,9,9,3,6,1,1,16
574,Dietrich Enns,DET,1,1,3.84,15,0,0,1,,15.0,64,14,7,6,2,5,0,1,15
575,Randy Dobnak,MIN,0,0,3.95,10,0,0,1,,10.0,43,10,5,4,1,3,0,0,8
576,Steven Okert,HOU,1,1,4.22,26,0,0,1,,26.0,112,23,13,12,4,11,1,1,27
577,Andrew Misiaszek,CLE,1,1,3.90,26,0,0,1,,26.0,112,24,12,11,3,11,1,1,26
578,Chris Flexen,CHC,1,1,4.15,16,0,0,1,,16.0,68,16,8,7,2,5,1,0,14
579,Logan Evans,SEA,1,1,4.22,10,2,0,1,,17.1,74,17,9,8,2,6,0,1,14
580,Alex Speas,MIN,1,1,4.22,16,0,0,1,,16.0,71,14,8,8,2,10,0,1,18
581,Zach Pop,TOR,2,2,4.11,44,0,0,1,,44.0,191,45,22,20,5,16,1,2,36
582,Luis González,BAL,2,2,4.00,36,0,0,1,,36.0,153,34,17,16,5,11,1,2,34
583,Angel Bastardo,TOR,1,1,4.01,17,0,0,1,,17.0,73,16,8,8,2,7,0,1,16
584,John McMillon,PHI,1,1,4.05,21,0,0,1,,21.0,91,18,10,9,3,11,1,1,23
585,Hunter Bigge,TBR,3,3,4.24,55,0,0,8,,55.0,238,50,28,26,7,26,1,2,57
586,John Rooney,MIA,1,1,4.04,28,0,0,1,,28.0,122,28,14,13,3,11,1,2,24